country,country_code_3_digit,continent,population
Aruba,ABW,America,106766
Afghanistan,AFG,Asia,38928341
Angola,AGO,Africa,32866268
Anguilla,AIA,America,15002
Albania,ALB,Europe,2862427
Andorra,AND,Europe,76177
United Arab Emirates,ARE,Asia,9890400
Argentina,ARG,America,45195777
Armenia,ARM,Europe,2963234
Antigua and Barbuda,ATG,America,97928
Australia,AUS,Oceania,25499881
Austria,AUT,Europe,8858775
Azerbaijan,AZE,Europe,10139175
Burundi,BDI,Africa,11890781
Belgium,BEL,Europe,11455519
Benin,BEN,Africa,12123198
"Bonaire, Saint Eustatius and Saba",BES,America,26221
Burkina Faso,BFA,Africa,20903278
Bangladesh,BGD,Asia,164689383
Bulgaria,BGR,Europe,7000039
Bahrain,BHR,Asia,1701583
Bahamas,BHS,America,393248
Bosnia and Herzegovina,BIH,Europe,3280815
Belarus,BLR,Europe,9449321
Belize,BLZ,America,397621
Bermuda,BMU,America,62273
Bolivia,BOL,America,11673029
Brazil,BRA,America,212559409
Barbados,BRB,America,287371
Brunei_Darussalam,BRN,Asia,437483
Bhutan,BTN,Asia,771612
Botswana,BWA,Africa,2351625
Central African Republic,CAF,Africa,4829764
Canada,CAN,America,37742157
Switzerland,CHE,Europe,8544527
Chile,CHL,America,19116209
China,CHN,Asia,1439323774
Cote_dIvoire,CIV,Africa,26378275
Cameroon,CMR,Africa,26545864
Democratic Republic of the Congo,COD,Africa,89561404
Congo,COG,Africa,5518092
Colombia,COL,America,50882884
Comoros,COM,Africa,869595
Cape_Verde,CPV,Africa,555988
Costa_Rica,CRI,America,5094114
Cuba,CUB,America,11326616
Curacao,CUW,America,164100
Cayman Islands,CYM,America,65720
Cyprus,CYP,Europe,875899
Czechia,CZE,Europe,10649800
Germany,DEU,Europe,83019213
Djibouti,DJI,Africa,988002
Dominica,DMA,America,71991
Denmark,DNK,Europe,5806081
Dominican Republic,DOM,America,10847904
Algeria,DZA,Africa,43851043
Ecuador,ECU,America,17643060
Egypt,EGY,Africa,102334403
Eritrea,ERI,Africa,3546427
Western Sahara,ESH,Africa,597330
Spain,ESP,Europe,46937060
Estonia,EST,Europe,1324820
Ethiopia,ETH,Africa,114963583
Finland,FIN,Europe,5517919
